Subject,task
101,5
102,5
103,2
104,3
105,5
106,5
107,4
108,2
109,5
110,5
111,3
112,4
113,5
114,5
115,2
116,3
117,5
118,5
119,4
120,2
121,5
122,5
123,3
124,4
125,5
126,5
127,2
128,3
129,5
130,5
131,4
132,2
133,3
134,4
135,5
136,5
137,2
138,3
139,5
140,5
141,4
142,2
143,5
144,5
145,3
146,4
147,5
148,5
149,2
150,3
151,5
152,5
153,4
154,2
155,5
156,5
157,3
158,4
159,2
160,3
161,4
162,2
163,3
164,4
201,1
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,0
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
301,4
302,4
303,4
304,4
305,4
306,4
307,4
308,4
309,0
310,0
311,1
312,1
313,0
314,0
315,1
316,1
317,4
318,4
319,4
320,4
321,4
322,4
323,4
324,4
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2